sampleId	country	alabels	longitude	latitude	PC1	PC2
ind_22861	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0221	0.0023
ind_22888	Germany	DE	10.3589016293772	51.0835556416166	0.0317	-0.0079
ind_23234	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0221	-0.002
ind_23762	Germany	DE	10.3589016293772	51.0835556416166	0.0266	0.0089
ind_23801	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0326	0.0114
ind_24533	Netherlands	NL	5.66711565691123	52.2661386478456	0.0273	-0.0109
ind_24549	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0253	0.0124
ind_25454	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0216	0.0046
ind_26678	Ireland	IE	-8.18040076502755	53.1966827266848	0.04	0.0191
ind_26808	Denmark	DK	9.2549897459615	56.0581130812053	0.0297	-0.0162
ind_27136	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0285	0.0128
ind_28997	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.031	0.0047
ind_29723	Italy	IT	12.5	42	-0.0353	-0.0199
ind_29740	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0279	-0.0028
ind_29908	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0252	0.0046
ind_29945	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0282	0.0071
ind_30086	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0389	0.0099
ind_30432	Ireland	IE	-8.18040076502755	53.1966827266848	0.0383	0.0087
ind_30787	Austria	AT	14.1174253717318	47.59249681831	0.0146	-0.0195
ind_31112	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0258	0.012
ind_31555	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0277	-0.0521
ind_31694	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0323	-0.0042
ind_32991	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0322	0.0035
